index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
0,Nike,Air Jordan 1,Basketball,Men,US 10,Red/Black,Leather,$170.00 
1,Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,$180.00 
2,Reebok,Classic Leather,Casual,Men,US 11,White,Leather,$75.00 
3,Converse,Chuck Taylor,Casual,Women,US 8,Navy,Canvas,$55.00 
4,Puma,Future Rider,Lifestyle,Women,US 7.5,Pink,Mesh,$80.00 
5,Vans,Old Skool,Skate,Men,US 8.5,Black/White,Suede/Canvas,$65.00 
6,New Balance,990v5,Running,Women,US 6.5,Grey,Suede/Mesh,$175.00 
7,Asics,Gel-Kayano 28,Running,Men,US 10.5,Blue,Mesh,$160.00 
8,Fila,Disruptor II,Fashion,Women,US 9,White,Leather/Synthetic,$65.00 
9,Skechers,Go Run Razor 3,Running,Men,US 9,Black,Mesh,$110.00 
10,Nike,Air Max 270,Running,Women,US 7,Pink,Mesh,$150.00 
11,Adidas,Stan Smith,Casual,Men,US 9,White/Green,Leather,$80.00 
12,Reebok,Club C 85,Casual,Women,US 8.5,Pink,Leather,$70.00 
13,Converse,One Star,Skate,Men,US 10,Black,Suede,$75.00 
14,Puma,RS-Fast,Lifestyle,Men,US 9.5,Yellow,Leather/Synthetic,$110.00 
15,Vans,Authentic,Skate,Women,US 6,White,Canvas,$50.00 
16,New Balance,Fresh Foam 1080v11,Running,Men,US 11.5,Blue,Mesh,$150.00 
17,Asics,Gel-Nimbus 23,Running,Women,US 8,Purple,Mesh,$150.00 
18,Fila,Ray Tracer,Fashion,Men,US 10,Black,Synthetic,$70.00 
19,Skechers,Arch Fit,Walking,Women,US 7.5,Grey,Mesh,$70.00 
20,Nike,Air Force 1,Casual,Men,US 10,White,Leather,$90.00 
21,Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,$140.00 
22,Reebok,Zig Kinetica II,Running,Men,US 11,White,Mesh,$120.00 
23,Converse,Jack Purcell,Casual,Women,US 7.5,Navy,Canvas,$65.00 
24,Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$80.00 
25,Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$70.00 
26,New Balance,327,Lifestyle,Men,US 10,Blue/Orange,Suede/Mesh,$90.00 
27,Asics,Gel-Quantum 180,Running,Women,US 9,Grey,Mesh/Synthetic,$120.00 
28,Fila,Mindblower,Fashion,Men,US 8.5,White,Leather/Synthetic,$75.00 
29,Skechers,D'Lites,Walking,Women,US 7,Black,Synthetic,$65.00 
30,Nike,Air Max 2090,Running,Men,US 9,Grey,Mesh,$150.00 
31,Adidas,Adizero Adios 5,Running,Women,US 7.5,Blue,Mesh,$170.00 
32,Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,$130.00 
33,Converse,Chuck 70,Casual,Women,US 9,Pink,Canvas,$85.00 
34,Puma,Future Rider Play,Lifestyle,Men,US 9,Black/Red,Synthetic,$90.00 
35,Vans,Slip-On,Skate,Women,US 7,Checkered,Canvas,$50.00 
36,New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,$80.00 
37,Asics,Gel-Kayano 27,Running,Women,US 8.5,Purple,Mesh/Synthetic,$160.00 
38,Fila,Venom,Fashion,Men,US 9.5,White/Red,Leather/Synthetic,$65.00 
39,Skechers,Go Walk 5,Walking,Women,US 7.5,Black,Mesh,$60.00 
40,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
41,Adidas,NMD_R1,Running,Women,US 9,Black,Knit,$140.00 
42,Reebok,Zig Kinetica II,Running,Men,US 9.5,White,Mesh,$120.00 
43,Converse,Jack Purcell,Casual,Men,US 10,White,Canvas,$65.00 
44,Puma,Suede Classic,Casual,Women,US 8.5,Beige,Suede,$65.00 
45,Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Suede/Canvas,$70.00 
46,New Balance,327,Casual,Women,US 7.5,Orange,Suede/Mesh,$100.00 
47,Asics,Gel-Kayano 28,Running,Women,US 7,White,Mesh,$160.00 
48,Fila,Original Fitness,Casual,Men,US 11,White/Navy,Leather,$70.00 
49,Skechers,Go Walk 5,Walking,Women,US 8,Black,Mesh,$60.00 
50,Nike,Free RN 5.0,Running,Men,US 10,Grey,Mesh,$100.00 
51,Adidas,Adilette Cloudfoam,Slides,Women,US 6,Black,Synthetic,$35.00 
52,Reebok,Nano 9,Crossfit,Men,US 10.5,Black,Mesh,$130.00 
53,Converse,Chuck 70,Casual,Women,US 7.5,Pink,Canvas,$85.00 
54,Puma,Clyde All Pro,Basketball,Men,US 9.5,Black/Red,Leather,$130.00 
55,Vans,Era,Skate,Women,US 6.5,White,Canvas,$55.00 
56,New Balance,Fresh Foam More v2,Running,Men,US 12,Black/Grey,Mesh,$165.00 
57,Asics,GT-2000 10,Running,Women,US 7,Blue,Mesh,$120.00 
58,Fila,Mindblower,Casual,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 
59,Skechers,Dynamight 2.0,Training,Women,US 9,Black,Mesh,$50.00 
60,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
61,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$130.00 
62,Reebok,Nano X1,Training,Men,US 9,Black,Knit,$130.00 
63,Converse,Chuck 70,Casual,Women,US 8.5,Yellow,Canvas,$85.00 
64,Puma,Clyde All-Pro,Basketball,Men,US 10,Red,Leather,$130.00 
65,Vans,Sk8-Hi,Skate,Women,US 7,Black,Suede,$70.00 
66,New Balance,Fresh Foam 1080v11,Running,Women,US 8,Green,Mesh,$150.00 
67,Asics,Gel-Quantum 360,Running,Men,US 11,Blue,Mesh,$170.00 
68,Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$65.00 
69,Skechers,Max Cushioning,Running,Men,US 8.5,Black,Mesh,$90.00 
70,Nike,Air Max 90,Lifestyle,Women,US 6,Grey,Leather,$120.00 
71,Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Black,Primeknit,$220.00 
72,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 
73,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 
74,Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,$120.00 
75,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
76,New Balance,FuelCell Echo,Running,Women,US 7,Pink,Mesh,$100.00 
77,Asics,GT-2000 9,Running,Men,US 10.5,Black,Mesh,$120.00 
78,Fila,Original Fitness,Casual,Women,US 7,White,Leather,$60.00 
79,Skechers,Elite Flex,Walking,Men,US 10,Navy,Mesh,$65.00 
80,Nike,Blazer Low,Lifestyle,Women,US 7.5,White,Leather,$85.00 
81,Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$90.00 
82,Adidas,NMD_R1,Lifestyle,Men,US 8.5,Black,Primeknit,$140.00 
83,Reebok,Nano X1,Training,Women,US 7.5,Grey,Flexweave,$130.00 
84,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 
85,Puma,Clyde All-Pro,Basketball,Men,US 11,Red/White,Leather,$120.00 
86,Vans,SK8-Hi,Skate,Women,US 6,Black,Suede/Canvas,$70.00 
87,New Balance,574,Casual,Men,US 10,Navy,Suede/Mesh,$80.00 
88,Asics,Gel-Lyte III NS,Casual,Women,US 8,Pink,Mesh,$100.00 
89,Fila,Mindblower,Fashion,Men,US 9.5,White,Leather/Synthetic,$75.00 
90,Skechers,Max Cushioning,Running,Women,US 7,Black,Mesh,$75.00 
91,Nike,React Infinity Run Flyknit 2,Running,Men,US 9.5,Blue,Flyknit,$160.00 
92,Adidas,Harden Stepback,Basketball,Men,US 12,Grey,Synthetic,$80.00 
93,Reebok,Classic Nylon,Casual,Women,US 7.5,Black,Nylon,$65.00 
94,Converse,Chuck 70,Casual,Men,US 8,Yellow,Canvas,$85.00 
95,Puma,Calibrate Runner,Running,Men,US 10.5,Black/Yellow,Mesh,$80.00 
96,Vans,Era,Skate,Women,US 7,Green,Canvas,$55.00 
97,New Balance,FuelCell Propel V3,Running,Women,US 6.5,Purple,Mesh,$100.00 
98,Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,$170.00 
99,Fila,Trailblazer,Fashion,Women,US 8,White/Pink,Leather,$65.00 
100,Skechers,Summits - Quick Getaway,Walking,Men,US 9,Grey,Mesh,$60.00 
101,Nike,Air Zoom Tempo NEXT% FlyEase,Running,Women,US 8.5,White,Mesh,$200.00 
102,Nike,React Infinity Run 2,Running,Women,US 7.5,Grey,Mesh,$160.00 
103,Adidas,Superstar,Casual,Men,US 8.5,Black/White,Leather,$80.00 
104,Reebok,Zig Kinetica Horizon,Running,Women,US 6.5,Blue,Mesh,$120.00 
105,Converse,Chuck 70,Casual,Men,US 9,White,Canvas,$85.00 
106,Puma,Cali Sport,Lifestyle,Women,US 9.5,White,Leather,$90.00 
107,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 
108,New Balance,990v5,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 
109,Asics,Gel-Venture 8,Trail,Women,US 8.5,Blue,Mesh,$70.00 
110,Fila,Mindblower,Fashion,Men,US 11,White,Synthetic,$75.00 
111,Skechers,Go Run Mojo,Running,Women,US 7,Black,Mesh,$60.00 
112,Nike,Air Zoom Pegasus 38,Running,Men,US 11,Black,Mesh,$120.00 
113,Adidas,Ultraboost 5.0 DNA,Running,Women,US 8.5,Grey,Primeknit,$180.00 
114,Reebok,Classic Leather Legacy,Casual,Men,US 9.5,White,Leather,$80.00 
115,Converse,Jack Purcell,Casual,Women,US 6,Navy,Canvas,$65.00 
116,Puma,RS-Fast Tech,Lifestyle,Men,US 9.5,Black/Red,Synthetic,$110.00 
117,Vans,Era,Skate,Women,US 7.5,Black/White,Canvas,$50.00 
118,New Balance,Fresh Foam Roav,Running,Men,US 10,Red,Mesh,$80.00 
119,Asics,GT-2000 10,Running,Women,US 9,Black,Mesh,$120.00 
120,Fila,Original Fitness,Fashion,Men,US 10,White,Leather,$60.00 
121,Skechers,Max Cushioning Elite,Walking,Women,US 8,Navy,Mesh,$80.00 
122,Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 
123,Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 
124,Reebok,Nano 9,Training,Men,US 9.5,Black/White,Mesh,$130.00 
125,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
126,Puma,Calibrate Runner,Running,Men,US 10,Black/Grey,Mesh/Synthetic,$90.00 
127,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$65.00 
128,New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Blue/White,Mesh,$130.00 
129,Asics,Gel-Kinsei OG,Running,Women,US 7.5,White/Grey,Mesh/Leather,$180.00 
130,Fila,Spaghetti,Fashion,Men,US 8,White/Navy,Leather/Synthetic,$65.00 
131,Skechers,Go Walk 5,Walking,Women,US 6.5,Black,Mesh,$60.00 
132,Nike,ZoomX Invincible Run,Running,Men,US 11,Black,Mesh/Synthetic,$180.00 
133,Adidas,Ultraboost DNA,Running,Women,US 8,Grey,Primeknit,$180.00 
134,Reebok,Classic Nylon,Casual,Men,US 10.5,Black,Nylon,$60.00 
135,Converse,Run Star Hike,Casual,Women,US 8,Cream,Canvas,$110.00 
136,Puma,Suede Classic+,Casual,Men,US 8,Red/White,Suede,$65.00 
137,Vans,Era,Skate,Women,US 7.5,Green,Canvas,$50.00 
138,New Balance,Fresh Foam More v3,Running,Men,US 11,Black/Grey,Mesh/Synthetic,$165.00 
139,Asics,Gel-Quantum 90 3,Running,Women,US 9,Pink,Mesh/Synthetic,$90.00 
140,Fila,Original Fitness,Casual,Men,US 9.5,White/Navy/Red,Leather,$60.00 
141,Skechers,Go Run Mojo Pep,Running,Women,US 8.5,Black/White,Mesh,$55 
142,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
143,Adidas,NMD_R1,Running,Women,US 8.5,Pink,Primeknit,$130.00 
144,Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 
145,Converse,Chuck 70,Casual,Women,US 7,Black,Canvas,$85.00 
146,Puma,Clyde All-Pro,Basketball,Men,US 10,White,Leather,$130.00 
147,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Suede/Canvas,$65.00 
148,New Balance,574 Classic,Casual,Men,US 10.5,Grey,Suede/Mesh,$80.00 
149,Asics,Gel-Quantum 90 3,Running,Women,US 7.5,Black,Mesh,$70.00 
150,Fila,Mindblower,Fashion,Men,US 11,Grey,Leather/Synthetic,$75.00 
151,Skechers,Max Cushioning Premier,Running,Women,US 7.5,Pink,Mesh,$90.00 
152,Nike,Blazer Mid '77,Casual,Men,US 9.5,White,Leather,$100.00 
153,Adidas,Superstar,Casual,Women,US 7.5,Black/White,Leather,$85.00 
154,Reebok,DMX Thrill,Running,Men,US 10,Black,Mesh,$70.00 
155,Converse,Jack Purcell,Casual,Women,US 8.5,White,Canvas,$65.00 
156,Puma,Calibrate Runner,Running,Men,US 9.5,Black/Yellow,Mesh,$140.00 
157,Vans,Slip-On,Skate,Women,US 6.5,Checkered,Canvas,$50.00 
158,New Balance,Fresh Foam Beacon V3,Running,Men,US 11,Blue,Mesh,$120.00 
159,Asics,Gel-Venture 8,Trail,Women,US 9.5,Grey,Mesh,$70.00 
160,Fila,F-13,Fashion,Men,US 10,White,Leather,$70.00 
161,Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Mesh,$65.00 
162,Nike,KD13,Basketball,Men,US 11,Blue,Mesh,$150.00 
163,Nike,React Infinity Run Flyknit 2,Running,Women,US 9.5,Black/White,Flyknit,$160.00 
164,Adidas,NMD_R1,Lifestyle,Men,US 11.5,Grey,Primeknit,$140.00 
165,Reebok,Aztrek 96,Casual,Women,US 8.5,Yellow/Black,Leather/Synthetic,$90.00 
166,Converse,Jack Purcell,Casual,Men,US 9,Navy/White,Canvas,$70.00 
167,Puma,Calibrate Runner,Running,Men,US 10,Black,Mesh,$100.00 
168,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$65.00 
169,New Balance,327,Casual,Men,US 10,Green,Suede/Leather,$90.00 
170,Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 
171,Fila,Trailblazer,Fashion,Men,US 9,White/Grey,Leather,$85.00 
172,Skechers,Max Cushioning Premier,Running,Women,US 7,Grey/Pink,Mesh,$105.00 
173,Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 
174,Adidas,Ultraboost 6.0,Running,Women,US 7.5,Black/White,Primeknit,$180.00 
175,Reebok,Classic Nylon,Casual,Men,US 11.5,Blue/White,Nylon,$60.00 
176,Converse,Pro Leather,Casual,Women,US 9.5,White/Green,Leather,$75.00 
177,Puma,Clyde All-Pro,Basketball,Men,US 9.5,Black,Leather/Synthetic,$130.00 
178,Vans,Era 95 DX,Skate,Women,US 6.5,Black/White,Canvas,$65.00 
179,New Balance,Fresh Foam More v3,Running,Men,US 10,Black/Grey,Mesh,$165.00 
180,Asics,Gel-Quantum 360 6,Running,Women,US 9,Grey/Green,Mesh,$180.00 
181,Fila,Spaghetti,Basketball,Men,US 10.5,White,Leather,$75.00 
182,Skechers,Uno Bold Move,Casual,Women,US 8.5,Black/White,Synthetic,$70.00 
183,Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$100.00 
184,Adidas,NMD_R1,Lifestyle,Women,US 8,Grey,Primeknit,$140.00 
185,Reebok,Nano X1,Training,Men,US 9.5,Black,Knit,$130.00 
186,Converse,Jack Purcell,Casual,Women,US 6.5,Navy,Canvas,$65.00 
187,Puma,Calibrate Runner,Running,Men,US 11,Black,Mesh,$80.00 
188,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Canvas/Suede,$70.00 
189,New Balance,327,Lifestyle,Men,US 10,Beige,Suede/Mesh,$100.00 
190,Asics,Gel-Excite 8,Running,Women,US 9,Pink,Mesh,$75.00 
191,Fila,Memory Fresh 2,Walking,Men,US 10,White,Synthetic,$60.00 
192,Skechers,Energy Burst,Running,Women,US 8,Black,Mesh,$70.00 
193,Nike,Flyknit Trainer,Running,Men,US 10,Black/White,Flyknit,$150.00 
194,Adidas,Ultraboost 4.0,Running,Women,US 7,Blue,Primeknit,$180.00 
195,Reebok,Floatride Energy,Running,Men,US 10.5,Grey,Mesh,$100.00 
196,Converse,Chuck 70 High,Casual,Women,US 9,Pink,Canvas,$85.00 
197,Puma,Clyde All-Pro,Basketball,Men,US 9,White,Leather,$130.00 
198,Vans,Era,Skate,Women,US 8.5,Black,Canvas,$50.00 
199,New Balance,Fresh Foam Beacon v3,Running,Men,US 12,Blue,Mesh,$120.00 
200,Asics,Gel-Kayano 27,Running,Women,US 8.5,Black,Mesh,$160.00 
201,Fila,Trailblazer,Fashion,Men,US 11,Black,Leather,$75.00 
202,Skechers,Equalizer 4.0,Walking,Women,US 7,Grey,Mesh,$60.00 
203,Nike,Blazer Mid '77,Casual,Men,US 9.5,White/Red/Navy,Leather,$100.00 
204,Adidas,Superstar,Casual,Women,US 7.5,White/Black,Leather,$80.00 
205,Reebok,Zig Kinetica,Running,Men,US 11.5,White/Black,Mesh,$120.00 
206,Converse,Jack Purcell,Casual,Men,US 8.5,White/Navy,Canvas,$70.00 
207,Puma,Suede Classic,Casual,Women,US 8.5,Pink,Suede,$65.00 
208,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Canvas,$70.00 
209,New Balance,Fresh Foam More,Running,Women,US 9,Grey/Purple,Mesh,$165.00 
210,Asics,Gel-Kayano 27,Running,Men,US 10.5,Black/Green,Mesh,$160.00 
211,Fila,Trailblazer,Fashion,Women,US 7,Cream,Synthetic,$75.00 
212,Skechers,D'Lites Fresh Start,Walking,Men,US 9.5,White/Black,Leather,$70.00 
213,Nike,Air Force 1,Casual,Women,US 8.5,White/Red,Leather,$90.00 
214,Adidas,NMD_R1,Casual,Men,US 9,Black/White,Primeknit,$130.00 
215,Reebok,Club C 85 MU,Casual,Men,US 11,White/Black,Leather,$75.00 
216,Converse,Chuck 70,Casual,Women,US 8.5,Cream,Canvas,$85.00 
217,Puma,Calibrate Runner,Running,Men,US 8.5,Black/Blue,Mesh,$120.00 
218,Vans,Era,Skate,Women,US 7,Pink/White,Canvas,$50.00 
219,New Balance,FuelCell Propel v2,Running,Men,US 9,Blue/Green,Mesh,$100.00 
220,Asics,Gel-Cumulus 23,Running,Women,US 8.5,Pink/White,Mesh,$120.00 
221,Fila,Mindblower,Fashion,Men,US 10,White/Black,Synthetic,$75.00 
222,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
223,Adidas,NMD_R1,Lifestyle,Women,US 8,Pink,Primeknit,$140.00 
224,Reebok,Nano X1,Training,Men,US 9.5,Grey,Knit,$130.00 
225,Converse,All Star Hi,Casual,Women,US 7,Black,Canvas,$60.00 
226,Puma,Calibrate Runner,Running,Men,US 10.5,Blue,Mesh,$90.00 
227,Vans,Sk8-Hi,Skate,Women,US 6,Red/White,Canvas,$70.00 
228,New Balance,327,Lifestyle,Men,US 8.5,Green,Suede/Mesh,$100.00 
229,Asics,Gel-Quantum 180,Running,Women,US 7.5,Grey,Mesh,$120.00 
230,Fila,Mindblower,Fashion,Men,US 9,White,Leather,$70.00 
231,Skechers,Max Cushioning,Walking,Women,US 9,Black,Mesh,$75.00 
232,Nike,React Infinity Run Flyknit,Running,Men,US 12,Black,Flyknit,$160.00 
233,Adidas,Adilette Comfort,Slides,Women,US 6,Black,Synthetic,$35.00 
234,Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,$65.00 
235,Converse,Chuck 70,Casual,Women,US 8,Cream,Canvas,$85.00 
236,Puma,RS-X3 Puzzle,Lifestyle,Men,US 8.5,Black/Yellow,Synthetic,$110.00 
237,Vans,Era,Skate,Women,US 7,Pink,Canvas,$55.00 
238,New Balance,990v4,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 
239,Asics,GT-2000 10,Running,Women,US 9,Blue,Mesh,$120.00 
240,Fila,D-Formation,Fashion,Men,US 11,White,Leather,$65.00 
241,Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Knit,$70.00 
242,Nike,Air Zoom Pegasus 38,Running,Men,US 10.5,Blue,Mesh,$120.00 
243,Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 
244,Adidas,Yeezy Boost 350 V2,Fashion,Men,US 9,Zebra,Primeknit,$220.00 
245,Reebok,Nano X1 Adventure,Training,Men,US 10,Khaki,Textile/Leather,$130.00 
246,Converse,Jack Purcell Low,Casual,Women,US 7.5,Pink,Canvas,$65.00 
247,Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black/White,Leather/Suede,$130.00 
248,Vans,Sk8-Hi,Skate,Women,US 9,Checkerboard,Canvas,$70.00 
249,New Balance,Fresh Foam Hierro v6,Trail,Men,US 9.5,Grey/Yellow,Synthetic/Mesh,$135.00 
250,Asics,Gel-Quantum 180 5,Running,Women,US 8,Pink,Mesh,$120.00 
251,Fila,D-Formation,Fashion,Men,US 11,Black,Leather,$65.00 
252,Skechers,Arch Fit Refine,Walking,Women,US 6.5,Navy,Mesh,$65.00 
253,Nike,Air Zoom Pegasus 38,Running,Men,US 12,Blue,Mesh,$120.00 
