index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
254,Adidas,NMD_R1,Casual,Women,US 8.5,Pink,Primeknit,$130.00 
255,Reebok,Floatride Energy 3,Running,Men,US 9,Black,Mesh,$100.00 
256,Converse,Chuck 70 High,Casual,Men,US 12,Green,Canvas,$85.00 
257,Puma,Calibrate Runner,Running,Women,US 9,White,Mesh,$90.00 
258,Vans,Era,Skate,Men,US 8.5,Black,Canvas,$50.00 
259,New Balance,FuelCell Rebel v2,Running,Women,US 7.5,Orange,Mesh,$130.00 
260,Asics,Gel-Cumulus 23,Running,Men,US 11,Grey,Mesh,$120.00 
261,Fila,Mindblower,Fashion,Women,US 7,White,Leather/Synthetic,$65.00 
262,Skechers,GOrun Mojo 2.0,Running,Men,US 8,Black,Mesh,$60.00 
263,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
264,Adidas,NMD_R1,Running,Women,US 8.5,Pink,Knit,$140.00 
265,Reebok,ZigWild Trail 7,Trail,Men,US 9.5,Black,Mesh/Synthetic,$110.00 
266,Converse,Jack Purcell,Casual,Women,US 7,Blue,Canvas,$65.00 
267,Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$90.00 
268,Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Canvas/Leather,$70.00 
269,New Balance,FuelCell Rebel v2,Running,Women,US 7,White/Pink,Mesh,$110.00 
270,Asics,Gel-Kahana 8,Running,Men,US 8,Grey,Mesh,$85.00 
271,Fila,Mindblower,Fashion,Women,US 7.5,White/Pink,Leather/Synthetic,$65.00 
272,Skechers,Max Cushioning,Running,Men,US 11,Black,Mesh,$85.00 
273,Nike,Air Max 2090,Running,Men,US 12,Black,Mesh/Synthetic,$150.00 
274,Adidas,Superstar,Casual,Women,US 9.5,White/Black,Leather,$85.00 
275,Reebok,Nano 9,Training,Men,US 10,Blue,Synthetic,$130.00 
276,Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,$80.00 
277,Puma,RS-X³,Lifestyle,Women,US 8.5,Pink,Mesh,$110.00 
278,Vans,Slip-On,Casual,Men,US 10.5,Black/White,Canvas,$50.00 
279,New Balance,Fresh Foam More v3,Running,Men,US 12,Black/Grey,Mesh,$165.00 
280,Asics,GT-1000 9,Running,Women,US 6.5,Blue,Mesh,$90.00 
281,Fila,T1 Mid,Casual,Men,US 11,White,Leather,$65.00 
282,Skechers,Go Walk 5,Walking,Women,US 8.5,Black,Mesh,$60.00 
283,Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 
284,Nike,Air Force 1,Casual,Men,US 9.5,White,Leather,$90.00 
285,Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Knit,$140.00 
286,Reebok,Nano X1,Crossfit,Men,US 10,Black,Mesh,$130.00 
287,Converse,Chuck 70,Casual,Women,US 8.5,Ivory,Canvas,$85.00 
288,Puma,Calibrate,Running,Men,US 8.5,Grey,Mesh,$130.00 
289,Vans,SK8-Hi,Skate,Men,US 9.5,Black/White,Canvas,$70.00 
290,New Balance,574,Casual,Women,US 7,Pink,Suede,$80.00 
291,Asics,Gel-Quantum 180 6,Running,Men,US 11,Black,Mesh,$120.00 
292,Fila,Mindblower,Fashion,Women,US 8,White,Leather/Synthetic,$65.00 
293,Skechers,Max Cushioning,Running,Women,US 7.5,Black,Mesh,$90.00 
294,Nike,Free RN Flyknit,Running,Men,US 10,Blue,Knit,$130.00 
295,Adidas,Adizero Boston 9,Running,Women,US 6.5,Black,Mesh,$120.00 
296,Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 
297,Converse,Run Star Hike,Casual,Women,US 8.5,White,Canvas,$110.00 
298,Puma,Ralph Sampson,Casual,Men,US 11,White/Green,Leather,$80.00 
299,Vans,Era,Skate,Women,US 7,Black,Canvas,$55.00 
300,New Balance,990v4,Running,Men,US 10.5,Grey,Suede/Mesh,$175.00 
301,Asics,Gel-Kayano 27,Running,Women,US 9,Black,Mesh,$160.00 
302,Fila,D-Formation,Fashion,Men,US 9,White,Leather,$70.00 
303,Skechers,D'Lites,Walking,Women,US 8,White,Leather,$65.00 
304,Nike,Air Max 2090,Running,Men,US 9,Grey,Synthetic,$150.00 
305,Nike,Air Force 1 Low,Casual,Men,US 9.5,White,Leather,$90.00 
306,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Pink/White,Primeknit,$130.00 
307,Reebok,Zig Kinetica II,Running,Men,US 11,Black,Mesh,$120.00 
308,Converse,Chuck 70 High,Casual,Men,US 8.5,Cream,Canvas,$85.00 
309,Puma,Calibrate Runner,Running,Women,US 8,Black,Mesh,$90.00 
310,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 
311,New Balance,327,Lifestyle,Women,US 6.5,White/Green,Suede/Mesh,$90.00 
312,Asics,Gel-Quantum 90,Running,Men,US 10,Blue,Mesh,$90.00 
313,Fila,Original Fitness,Fashion,Women,US 7.5,White/Navy,Leather/Synthetic,$65.00 
314,Skechers,Go Walk 5,Walking,Men,US 9,Grey,Mesh,$65.00 
315,Nike,React Infinity Run Flyknit,Running,Women,US 8,Black,Flyknit,$160.00 
316,Adidas,Superstar,Casual,Men,US 8.5,White/Black,Leather,$85.00 
317,Reebok,Nano 9,Crossfit,Women,US 7,Grey,Mesh,$130.00 
318,Converse,Run Star Hike,Casual,Women,US 9,White,Canvas,$100.00 
319,Puma,RS-2K,Lifestyle,Men,US 10,White,Leather/Synthetic,$120.00 
320,Vans,Era,Skate,Women,US 6.5,Black/White,Canvas,$50.00 
321,New Balance,FuelCell Propel v3,Running,Men,US 9.5,Blue/Orange,Mesh,$100.00 
322,Asics,Gel-Kinsei OG,Running,Women,US 8.5,White/Black,Mesh,$180.00 
323,Fila,Trigate,Fashion,Men,US 9.5,White/Navy/Red,Synthetic,$60.00 
324,Skechers,Summits,Walking,Women,US 7.5,Black/Pink,Mesh,$60.00 
325,Nike,Air Force 1 Low,Casual,Men,US 9,White,Leather,$90.00 
326,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$140.00 
327,Reebok,Zig Kinetica,Running,Men,US 11,Black,Mesh,$120.00 
328,Converse,Chuck 70,Casual,Men,US 8,Grey,Canvas,$85.00 
329,Puma,Clyde All-Pro,Basketball,Men,US 10.5,White,Leather,$130.00 
330,Vans,SK8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,$70.00 
331,New Balance,990v2,Running,Men,US 10,Grey,Suede/Mesh,$175.00 
332,Asics,Gel-Quantum 360 6,Running,Women,US 8,Black,Mesh,$150.00 
333,Fila,Original Fitness,Casual,Men,US 9,White/Navy,Leather,$60.00 
334,Skechers,Max Cushioning Premier,Running,Men,US 8.5,Grey,Mesh,$90.00 
335,Nike,Blazer Mid,Casual,Women,US 7.5,Red,Leather,$100.00 
336,Adidas,Superstar,Casual,Men,US 10,White/Black,Leather,$80.00 
337,Reebok,Classic Nylon,Casual,Women,US 8,Black/White,Nylon/Suede,$65.00 
338,Converse,All Star Pro BB,Basketball,Men,US 11,Black,Canvas,$120.00 
339,Puma,Calibrate Runner,Running,Women,US 6.5,Blue,Mesh,$120.00 
340,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
341,New Balance,Fresh Foam More v3,Running,Women,US 7.5,Grey,Mesh,$165.00 
342,Asics,GT-2000 10,Running,Men,US 9.5,Black,Mesh,$120.00 
343,Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$70.00 
344,Skechers,Equalizer 4.0,Walking,Men,US 12,Navy,Mesh,$65.00 
345,Nike,React Infinity Run Flyknit 2,Running,Women,US 9,Purple,Flyknit,$160.00 
346,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
347,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream,Primeknit,$220.00 
348,Reebok,Zig Kinetica,Running,Men,US 12,Black,Mesh,$120.00 
349,Converse,Chuck 70,Casual,Women,US 7,Egret,Canvas,$85.00 
350,Puma,Calibrate Runner,Running,Men,US 8.5,Black,Mesh,$80.00 
351,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$70.00 
352,New Balance,FuelCell Rebel v2,Running,Men,US 10.5,Blue,Mesh,$130.00 
353,Asics,Gel-Quantum 90,Running,Women,US 7,Black,Mesh,$80.00 
354,Fila,Tracer,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$65.00 
355,Skechers,D'Lites,Walking,Women,US 6.5,Black/White,Synthetic,$65.00 
356,Nike,React Infinity Run Flyknit 2,Running,Men,US 9,Black,Flyknit,$160.00 
357,Adidas,NMD_R1 V2,Casual,Women,US 6.5,Pink,Primeknit,$130.00 
358,Reebok,Club C Legacy,Casual,Men,US 11,Green,Leather,$80.00 
359,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
360,Puma,Clyde All-Pro,Basketball,Men,US 10,Black,Leather,$130.00 
361,Vans,Slip-On,Casual,Women,US 8.5,Black,Canvas,$50.00 
362,New Balance,Fresh Foam Hierro v6,Trail Running,Men,US 10,Grey/Orange,Synthetic/Mesh,$135.00 
363,Asics,GT-2000 10,Running,Women,US 9,Black/Pink,Mesh,$120.00 
364,Fila,Ray,Fashion,Men,US 11,White,Synthetic,$65.00 
365,Skechers,Ultra Flex 2.0,Walking,Women,US 7.5,Navy/White,Mesh,$60.00 
366,Nike,React Infinity Run,Running,Women,US 9.5,Grey/Pink,Mesh,$160.00 
367,Adidas,Ultraboost 5.0 DNA,Running,Men,US 9,White,Primeknit,$180.00 
368,Reebok,Nano X1,Training,Women,US 8.5,Black,Flexweave/Knit,$130.00 
369,Converse,Jack Purcell,Casual,Men,US 11,White,Canvas,$75.00 
370,Puma,Calibrate Runner,Running,Men,US 10,Grey/Black,Mesh,$90.00 
371,Vans,Sk8-Hi,Skate,Women,US 7,Black/White,Canvas/Suede,$65.00 
372,New Balance,327,Lifestyle,Men,US 8.5,Blue/Orange,Suede/Nylon,$90.00 
373,Asics,Gel-Cumulus 23,Running,Women,US 7.5,Pink,Mesh,$120.00 
374,Fila,Trailblazer,Fashion,Men,US 9,Green/Orange,Leather/Synthetic,$80.00 
375,Skechers,Go Walk Joy,Walking,Women,US 6.5,Black,Mesh,$54.99 
376,Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 
377,Adidas,NMD_R1,Lifestyle,Women,US 6,Pink/White,Primeknit,$130.00 
378,Reebok,Legacy Lifter,Weightlifting,Men,US 9.5,Black/Gold,Leather,$200.00 
379,Converse,Run Star Hike,Casual,Women,US 7.5,Pink,Canvas,$110.00 
380,Puma,Wild Rider,Lifestyle,Men,US 11,Black/White,Suede/Leather,$90.00 
381,Vans,Slip-On,Casual,Women,US 8,Black/White Checkerboard,Canvas,$50.00 
382,New Balance,Fresh Foam 1080v10,Running,Men,US 12,Black/Green,Mesh,$150.00 
383,Asics,Gel-Quantum 360 6,Running,Women,US 9,Black/White,Mesh,$150.00 
384,Fila,Spaghetti,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$75.00 
385,Nike,Air Max 90,Running,Men,US 8.5,White,Leather,$120.00 
386,Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Primeknit,$130.00 
387,Reebok,Nano X,Crossfit,Men,US 9,Grey,Mesh,$130.00 
388,Converse,All Star Pro BB,Basketball,Women,US 9.5,Purple,Canvas,$110.00 
389,Puma,Suede Classic,Casual,Men,US 11,Black,Suede,$65.00 
390,Vans,Sk8-Hi,Skate,Women,US 7.5,Yellow,Suede,$65.00 
391,New Balance,574,Casual,Men,US 10,Grey,Suede/Mesh,$80.00 
392,Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Black,Mesh,$150.00 
393,Fila,Original Fitness,Fashion,Men,US 10.5,White,Leather,$65.00 
394,Skechers,Go Run 600,Running,Women,US 6,Pink,Mesh,$60.00 
395,Nike,Air Force 1,Casual,Men,US 9.5,Grey,Leather,$90.00 
396,Adidas,Yeezy Boost 350,Lifestyle,Women,US 6.5,Cream,Primeknit,$220.00 
397,Reebok,Legacy Lifter,Weightlifting,Men,US 10.5,Black,Leather,$200.00 
398,Converse,Pro Leather,Casual,Women,US 8.5,White/Green,Leather,$85.00 
399,Puma,RS-X³ Puzzle,Lifestyle,Men,US 8.5,Red,Synthetic,$110.00 
400,Vans,Slip-On,Skate,Women,US 8,Black/White,Canvas,$50.00 
401,New Balance,FuelCell Propel v3,Running,Men,US 9,Red,Mesh,$100.00 
402,Asics,Gel-Kayano 28,Running,Women,US 7.5,White/Pink,Mesh,$160.00 
403,Fila,Disruptor Low,Fashion,Men,US 9.5,White/Navy,Synthetic,$60.00 
404,Skechers,Elite Flex,Walking,Women,US 7.5,Black,Mesh,$70.00 
405,Nike,Air Force 1 '07,Basketball,Men,US 9.5,White,Leather,$100.00 
406,Adidas,NMD_R1,Running,Women,US 7,Grey,Primeknit,$140.00 
407,Reebok,Aztrek Double Mix,Casual,Women,US 8,Pink/White,Suede/Mesh,$100.00 
408,Converse,All Star Leather,Casual,Men,US 8.5,Black,Leather,$65.00 
409,Puma,Calibrate Runner,Running,Men,US 10,Blue,Mesh,$90.00 
410,Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Suede/Canvas,$70.00 
411,New Balance,Fresh Foam 880v11,Running,Men,US 11.5,Red,Mesh,$130.00 
412,Asics,Gel-Cumulus 23,Running,Women,US 9.5,Purple,Mesh,$120.00 
413,Fila,Mindblower,Fashion,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 
414,Skechers,Summits - Quick Lapse,Walking,Women,US 8,Black/Pink,Mesh,$60.00 
415,Nike,Air Max 97,Running,Men,US 11.5,Black,Leather/Synthetic,$170.00 
416,Adidas,ZX 2K Boost,Casual,Women,US 7.5,White/Pink,Mesh/Synthetic,$150.00 
417,Reebok,Club C Revenge,Casual,Men,US 10,White/Green,Leather,$80.00 
418,Converse,Chuck 70 High,Casual,Women,US 6,Red,Canvas,$85.00 
419,Puma,Cali Sport,Lifestyle,Men,US 8.5,Black/White,Leather,$80.00 
420,Vans,Slip-On,Skate,Women,US 7,Black/White,Canvas,$50.00 
421,New Balance,Fresh Foam More v2,Running,Men,US 9,Grey,Mesh,$165.00 
422,Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 
423,Fila,Original Fitness,Fashion,Men,US 11,White,Leather,$60.00 
424,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
425,Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 
426,Reebok,Zig Kinetica,Running,Men,US 10.5,Black,Mesh,$120.00 
427,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
428,Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black,Leather,$130.00 
429,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas/Suede,$70.00 
430,New Balance,Fresh Foam More v3,Running,Men,US 9.5,Blue,Mesh,$165.00 
431,Asics,Gel-Kayano Lite,Running,Women,US 7.5,Black,Mesh,$120.00 
432,Fila,Mindblower,Fashion,Men,US 9,Grey,Synthetic,$70.00 
433,Skechers,D'Lites,Lifestyle,Women,US 8.5,White,Leather/Synthetic,$65.00 
434,Nike,Air Max 95,Running,Men,US 11,Grey,Synthetic,$170.00 
435,Adidas,Superstar,Casual,Women,US 7,White/Black,Leather,$80.00 
436,Reebok,DMX Series 2K,Casual,Men,US 9.5,White/Blue,Synthetic,$90.00 
437,Converse,All Star Lift,Casual,Women,US 6.5,Black,Canvas,$65.00 
438,Puma,Ralph Sampson,Basketball,Men,US 11,White,Leather,$80.00 
439,Vans,Era,Skate,Women,US 8.5,Red,Canvas,$55.00 
440,New Balance,FuelCell Rebel v2,Running,Men,US 10,Black,Mesh,$130.00 
441,Asics,Gel-Quantum 90,Running,Women,US 8,Black/Pink,Mesh,$80.00 
442,Fila,Original Fitness,Casual,Men,US 8.5,White/Red,Leather,$65.00 
443,Skechers,Elite Flex Wasick,Training,Women,US 7.5,Grey,Knit,$65.00 
444,Nike,React Infinity Run Flyknit,Running,Men,US 10,Blue,Flyknit,$160.00 
445,Nike,Air Force 1 '07,Casual,Men,US 9,White/Black,Leather,$90.00 
446,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream White,Primeknit/Synthetic,$220.00 
447,Reebok,Nano X1 Adventure,Training,Men,US 10.5,Black,Mesh/Synthetic,$130.00 
448,Converse,Jack Purcell,Casual,Women,US 7,White,Canvas,$65.00 
449,Puma,Calibrate Runner,Running,Men,US 11,Grey,Mesh/Synthetic,$100.00 
450,Vans,SK8-Hi,Skate,Women,US 9.5,Purple,Canvas/Suede,$70.00 
451,New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Black/White,Mesh/Synthetic,$130.00 
452,Asics,Gel-Quantum 360 6,Running,Women,US 6,Pink,Mesh/Synthetic,$170.00 
453,Fila,Mindblower,Fashion,Men,US 8.5,Red/White,Synthetic/Leather,$75.00 
454,Skechers,Max Cushioning Elite,Running,Women,US 7,Navy,Mesh/Synthetic,$110.00 
455,Nike,Air Max 90,Running,Men,US 8,Black/White,Leather/Mesh,$120.00 
456,Adidas,NMD_R1,Fashion,Women,US 7,Grey,Knit/Synthetic,$140.00 
457,Reebok,Nano X1 Grit,Training,Men,US 11,Grey/Black,Mesh/Synthetic,$130.00 
458,Converse,All Star,Casual,Men,US 9,Navy,Canvas,$55.00 
459,Puma,Future Rider Play On,Lifestyle,Women,US 9,Yellow,Synthetic/Textile,$80.00 
460,Vans,Era,Skate,Men,US 9.5,Black/White,Canvas,$50.00 
461,New Balance,Fresh Foam X Beacon v3,Running,Women,US 7,White/Grey,Mesh,$120.00 
462,Asics,Gel-Kayano 27,Running,Men,US 12,Black,Mesh/Synthetic,$160.00 
463,Fila,Trigate,Fashion,Women,US 8,Pink,Synthetic/Leather,$65.00 
464,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
465,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 7,Cream,Primeknit,$220.00 
466,Reebok,Nano X1,CrossFit,Men,US 10,Black/White,Mesh,$130.00 
467,Converse,All Star,Casual,Women,US 8.5,Red,Canvas,$60.00 
468,Puma,Calibrate Rest,Running,Men,US 8.5,Grey,Mesh,$100.00 
469,Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,$70.00 
470,New Balance,327,Casual,Women,US 7,Green/White,Suede/Nylon,$90.00 
471,Asics,Gel-Cumulus 23,Running,Men,US 9,Black,Mesh,$120.00 
472,Fila,Mindblower,Fashion,Women,US 7.5,Pink,Leather,$75.00 
473,Skechers,Max Cushioning,Walking,Men,US 11,Grey,Mesh,$90.00 
474,Nike,React Infinity Run Flyknit 2,Running,Women,US 8,Blue,Flyknit,$160.00 
475,Adidas,Ultraboost 20,Running,Men,US 9.5,White,Primeknit,$180.00 
476,Reebok,Aztrek 96,Casual,Women,US 9,Purple,Synthetic,$90.00 
477,Converse,Jack Purcell,Casual,Men,US 8.5,White,Canvas,$70.00 
478,Puma,RS-X3,Fashion,Women,US 7.5,Pink,Leather/Synthetic,$110.00 
479,Vans,Slip-On,Skate,Men,US 9.5,Checkerboard Black/White,Canvas,$50.00 
480,New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Grey/Green,Mesh,$130.00 
481,Asics,Gel-Quantum 360 6,Running,Men,US 10,Black,Mesh,$160.00 
482,Fila,D-Formation,Fashion,Women,US 6,White/Black,Leather/Synthetic,$70.00 
483,Skechers,Go Walk 5,Walking,Men,US 10,Black,Mesh,$65.00 
484,Nike,Air Max 2090,Running,Women,US 7.5,Green,Mesh,$150.00 
485,Nike,React Infinity Run,Running,Men,US 9.5,Blue/Black,Mesh,$160.00 
486,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Grey,Primeknit,$130.00 
487,Reebok,Nano 9,Training,Men,US 10,Black,Flexweave,$130.00 
488,Converse,All Star Pro BB,Basketball,Women,US 8.5,White,Leather,$100.00 
489,Puma,Clyde Hardwood,Basketball,Men,US 8,Red/Black,Leather,$110.00 
490,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$70.00 
491,New Balance,327,Casual,Men,US 9.5,Green,Suede/Mesh,$90.00 
492,Asics,Gel-Quantum 360 6,Running,Women,US 8,Pink,Mesh/Synthetic,$160.00 
493,Fila,Mindblower,Fashion,Men,US 10,White/Red,Leather,$75.00 
494,Skechers,D'Lites,Walking,Women,US 7.5,Black,Leather/Synthetic,$60.00 
495,Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 
496,Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,$80.00 
497,Reebok,Classic Nylon,Casual,Men,US 11,Black,Nylon/Suede,$60.00 
498,Converse,Chuck 70,Casual,Women,US 7.5,Egret,Canvas,$85.00 
499,Puma,Ralph Sampson Mid,Basketball,Men,US 9.5,White,Leather,$90.00 
500,Vans,Era,Skate,Men,US 8.5,Red,Canvas,$55.00 
501,New Balance,FuelCell Rebel v2,Running,Women,US 7,Purple,Mesh,$130.00 
502,Asics,GT-2000 10,Running,Men,US 9.5,Grey,Mesh,$120.00 
