index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
752,Asics,Gel-Kahana 8,Running,Men,US 9.5,Blue,Mesh,$85.00 
753,Fila,Tracer,Fashion,Women,US 7.5,White,Synthetic,$65.00 
754,Skechers,Summits,Walking,Men,US 12,Black,Mesh,$65.00 
755,Nike,Epic React Flyknit,Running,Women,US 7.5,Grey,Flyknit,$150.00 
756,Adidas,Ultraboost 4.0,Running,Men,US 11,Black,Primeknit,$180.00 
757,Reebok,Legacy Lifter,Weightlifting,Men,US 9,White/Black,Synthetic,$200.00 
758,Converse,All Star Pro BB,Basketball,Women,US 7,Green,Leather,$100.00 
759,Puma,Cell Venom,Lifestyle,Men,US 10,Grey,Leather,$90.00 
760,Vans,Slip-On,Casual,Women,US 6.5,Checkerboard,Canvas,$50.00 
761,New Balance,574,Casual,Men,US 12,Burgundy,Suede/Mesh,$80.00 
762,Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Pink,Mesh,$150.00 
763,Nike,Air Max 95,Running,Men,US 9,Grey,Leather/Synthetic,$170.00 
764,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Pink,Primeknit,$140.00 
765,Reebok,Nano X1,Training,Men,US 11,Black,Mesh,$130.00 
766,Converse,Jack Purcell,Casual,Men,US 8,White,Canvas,$65.00 
767,Puma,Calibrate Rest,Running,Women,US 8.5,Black,Mesh,$100.00 
768,Vans,SK8-Hi,Skate,Men,US 9.5,Red,Suede/Canvas,$70.00 
769,New Balance,327,Lifestyle,Women,US 6.5,Grey,Suede/Mesh,$100.00 
770,Asics,Gel-Quantum 360 6,Running,Men,US 10.5,Black,Mesh,$180.00 
771,Fila,Original Fitness,Casual,Women,US 9,White,Leather,$70.00 
772,Skechers,Max Cushioning,Running,Men,US 10,Blue,Mesh,$90.00 
773,Nike,React Infinity Run Flyknit,Running,Women,US 8,Blue,Flyknit,$160.00 
774,Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 9,Cream White,Primeknit,$220.00 
775,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 
776,Converse,Chuck 70,Casual,Men,US 9,Black,Canvas,$85.00 
777,Puma,Clyde All-Pro,Basketball,Women,US 7.5,White,Leather,$130.00 
778,Vans,Era,Skate,Men,US 10,Black/White,Canvas,$55.00 
779,New Balance,574,Lifestyle,Women,US 8,Grey,Suede/Textile,$80.00 
780,Asics,Gel-Excite 8,Running,Men,US 9.5,Blue,Mesh,$70.00 
781,Fila,F-13,Fashion,Men,US 11,Black,Leather,$65.00 
782,Skechers,Go Walk 5,Walking,Women,US 6.5,Black,Mesh,$60.00 
783,Nike,Air Force 1,Casual,Men,US 8.5,White,Leather,$90.00 
784,Nike,Air Force 1,Casual,Men,US 9,White,Leather,$90.00 
785,Adidas,NMD_R1,Casual,Women,US 7,Black,Primeknit,$130.00 
786,Reebok,Zig Kinetica II,Running,Men,US 10,White,Mesh,$120.00 
787,Converse,Jack Purcell,Casual,Women,US 8.5,Navy,Canvas,$75.00 
788,Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$90.00 
789,Vans,Sk8-Hi,Skate,Men,US 8.5,Black/White,Suede/Canvas,$70.00 
790,New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Black/Pink,Mesh,$130.00 
791,Asics,Gel-Quantum 90,Running,Men,US 11,Grey,Mesh,$80.00 
792,Fila,Mindblower,Fashion,Women,US 7,White,Synthetic,$75.00 
793,Skechers,GOwalk 5,Walking,Men,US 9,Black,Mesh,$65.00 
794,Nike,Zoom Pegasus 38,Running,Women,US 8.5,Blue,Mesh,$120.00 
795,Adidas,Yeezy Boost 350 V2,Casual,Men,US 11,Cream White,Primeknit,$220.00 
796,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 
797,Converse,Chuck 70,Casual,Men,US 9,Red,Canvas,$85.00 
798,Puma,Suede Classic,Fashion,Women,US 6,Black,Suede,$65.00 
799,Vans,Era,Skate,Men,US 8,Grey,Canvas,$50.00 
800,New Balance,Fresh Foam Beacon v3,Running,Women,US 9,Grey,Mesh,$120.00 
801,Asics,Gel-Kayano 27,Running,Men,US 10,Black,Mesh,$160.00 
802,Fila,Disruptor III,Fashion,Women,US 8.5,White,Synthetic,$75.00 
803,Skechers,Max Cushioning,Running,Men,US 9.5,Blue,Mesh,$90.00 
804,Nike,Air Max 90,Casual,Women,US 7.5,Green,Leather,$120.00 
805,Nike,Air Max 97,Running,Men,US 11,Silver,Synthetic/Leather,$170.00 
806,Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,$80.00 
807,Reebok,Zig Kinetica II,Running,Men,US 9,Grey,Mesh,$120.00 
808,Converse,Chuck 70,Casual,Men,US 12,Beige,Canvas,$85.00 
809,Puma,Calibrate Runner,Running,Women,US 7.5,Black/White,Mesh,$90.00 
810,Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,$70.00 
811,New Balance,574,Casual,Women,US 7.5,Grey,Suede,$80.00 
812,Asics,Gel-Kayano 27,Running,Men,US 12,Black,Mesh,$160.00 
813,Fila,Mindblower,Fashion,Women,US 9.5,Grey/Pink,Synthetic,$75.00 
814,Skechers,Summits - New World,Walking,Men,US 10,Black,Mesh,$59.00 
815,Nike,Air Force 1,Casual,Women,US 8,White,Leather,$90.00 
816,Adidas,Adizero Adios 5,Running,Men,US 10.5,Blue,Mesh,$140.00 
817,Reebok,Nano 9,Training,Women,US 7,Black/White,Synthetic,$130.00 
818,Converse,Jack Purcell,Casual,Men,US 8.5,Navy,Canvas,$65.00 
819,Puma,Clyde All-Pro,Basketball,Women,US 7.5,White,Leather,$130.00 
820,Vans,Slip-On,Casual,Men,US 10,Black/White,Canvas,$50.00 
821,New Balance,FuelCell Propel V3,Running,Women,US 8.5,Pink/White,Mesh,$100.00 
822,Asics,Gel-Quantum 180,Running,Men,US 11.5,Black,Mesh,$120.00 
823,Fila,Ray Tracer Evo,Fashion,Women,US 8,White,Synthetic,$65.00 
824,Skechers,GOrun Razor Excess,Running,Men,US 9,Black/Yellow,Mesh,$125.00 
825,Nike,Zoom Pegasus 38,Running,Women,US 7.5,Pink,Mesh,$120.00 
826,Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 
827,Adidas,NMD_R1,Running,Women,US 7.5,Grey/Pink,Primeknit,$140.00 
828,Reebok,Nano 9,Crossfit,Men,US 11.5,Black,Mesh,$130.00 
829,Converse,Jack Purcell,Casual,Women,US 8.5,White,Canvas,$65.00 
830,Puma,Calibrate Runner,Running,Men,US 9.5,Black/Yellow,Mesh,$120.00 
831,Vans,SK8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,$65.00 
832,New Balance,327,Casual,Women,US 7.5,Purple,Suede/Leather,$100.00 
833,Asics,Gel-Cumulus 23,Running,Men,US 10,Blue/Black,Mesh,$120.00 
834,Fila,F-13,Casual,Women,US 9,White,Leather,$80.00 
835,Skechers,Go Walk 6,Walking,Men,US 10.5,Black/Grey,Mesh,$60.00 
836,Nike,Air Force 1,Casual,Women,US 8,White,Leather,$90.00 
837,Adidas,Superstar,Casual,Men,US 10,Black/White,Leather,$85.00 
838,Reebok,Classic Nylon,Casual,Women,US 7,Pink,Nylon,$60.00 
839,Converse,Chuck 70,Casual,Men,US 11,Grey,Canvas,$85.00 
840,Puma,Clyde All-Pro,Basketball,Women,US 7.5,White,Leather,$130.00 
841,Vans,Slip-On,Casual,Men,US 8.5,Black/White,Canvas,$50.00 
842,New Balance,574,Casual,Women,US 8.5,Navy,Suede/Leather,$80.00 
843,Asics,GT-2000 9,Running,Men,US 9.5,Black,Mesh,$120.00 
844,Fila,Grant Hill 2,Basketball,Women,US 8,White/Navy,Leather,$95.00 
845,Skechers,Elite Flex,Walking,Men,US 9.5,Grey,Knit,$70.00 
846,Nike,Air Force 1,Casual,Men,US 9,White,Leather,$90.00 
847,Adidas,NMD_R1,Lifestyle,Women,US 7,Grey,Primeknit,$140.00 
848,Reebok,Nano X1,Training,Men,US 11.5,Black,Mesh,$130.00 
849,Converse,Chuck 70,Casual,Women,US 8.5,Cream,Canvas,$85.00 
850,Puma,Suede Classic,Casual,Men,US 10.5,Black/White,Suede,$65.00 
851,Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Canvas,$70.00 
852,New Balance,327,Lifestyle,Women,US 8,White/Grey,Suede/Mesh,$90.00 
853,Asics,Gel-Quantum 90,Running,Men,US 10,Grey,Mesh,$80.00 
854,Fila,Mindblower,Fashion,Women,US 7,Pink,Leather/Synthetic,$75.00 
855,Skechers,Max Cushioning,Walking,Men,US 9.5,Black,Mesh,$80.00 
856,Nike,React Infinity Run Flyknit 2,Running,Women,US 6.5,Pink,Flyknit,$160.00 
857,Adidas,Ultraboost DNA,Running,Men,US 9.5,White,Primeknit,$180.00 
858,Reebok,Zig Kinetica II,Running,Women,US 8,Blue,Mesh,$120.00 
859,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 
860,Puma,Calibrate Runner,Running,Women,US 7,Grey,Mesh,$90.00 
861,Vans,Era,Skate,Men,US 10,Black,Canvas,$50.00 
862,New Balance,Fresh Foam Hierro v6,Trail Running,Men,US 11.5,Green,Synthetic/Mesh,$135.00 
863,Asics,Gel-Kayano 27,Running,Women,US 8.5,Blue,Mesh,$160.00 
864,Fila,Ray Tracer Evo,Fashion,Men,US 11,Black/White,Synthetic,$75.00 
865,Skechers,Go Run Mojo,Running,Women,US 7.5,Black,Mesh,$60.00 
866,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
867,Adidas,NMD_R1,Running,Women,US 7,Pink,Primeknit,$130.00 
868,Reebok,Nano 9,Training,Men,US 10.5,Black,Mesh,$130.00 
869,Converse,Jack Purcell,Casual,Women,US 8.5,White,Canvas,$65.00 
870,Puma,Clyde All-Pro,Basketball,Men,US 9,Black,Leather,$130.00 
871,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$70.00 
872,New Balance,327,Casual,Men,US 9,Navy,Suede/Mesh,$100.00 
873,Asics,Gel-Kinsei OG,Running,Women,US 7,White,Mesh,$180.00 
874,Fila,Venom,Fashion,Men,US 11,Grey,Synthetic,$75.00 
875,Skechers,GOrun 7+,Running,Women,US 8,Black/Pink,Mesh,$95.00 
876,Nike,Blazer Mid '77,Casual,Men,US 12,White,Leather,$100.00 
877,Adidas,Ultraboost DNA,Running,Women,US 6,Blue,Primeknit,$180.00 
878,Reebok,Classic Nylon,Casual,Men,US 9.5,Black,Nylon,$65.00 
879,Converse,Chuck 70,Casual,Women,US 9,Cream,Canvas,$85.00 
880,Puma,Calibrate Runner,Running,Men,US 10,Black/Yellow,Mesh,$120.00 
881,Vans,Era,Skate,Women,US 6.5,Red,Canvas,$50.00 
882,New Balance,FuelCell Rebel V2,Running,Men,US 11,Black/Yellow,Mesh,$110.00 
883,Asics,Gel-Venture 8,Trail Running,Women,US 8,Grey,Mesh,$70.00 
884,Fila,Original Fitness,Casual,Men,US 10,White,Leather,$70.00 
885,Skechers,Max Cushioning Premier,Walking,Women,US 7,Grey,Mesh,$80.00 
886,Nike,React Infinity Run Flyknit,Running,Men,US 10.5,Blue,Flyknit,$160.00 
887,Nike,React Infinity Run Flyknit,Running,Women,US 7,Black,Flyknit,$160.00 
888,Adidas,Superstar,Casual,Men,US 10.5,White/Gold,Leather/Synthetic,$85.00 
889,Reebok,Nano X1,Training,Women,US 8.5,Pink,Flexweave/Synthetic,$130.00 
890,Converse,Chuck 70,Casual,Men,US 11.5,Yellow,Canvas,$85.00 
891,Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,$80.00 
892,Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Canvas/Suede,$65.00 
893,New Balance,327,Lifestyle,Women,US 7,Blue,Suede/Mesh,$90.00 
894,Asics,Gel-Quantum 90,Running,Men,US 9,Black/White,Mesh/Synthetic,$80.00 
895,Fila,Mindblower,Fashion,Women,US 8,Pink,Leather/Synthetic,$70.00 
896,Skechers,Go Run Mojo,Running,Men,US 8,Black,Mesh,$60.00 
897,Nike,Air Force 1,Casual,Women,US 8.5,White,Leather,$90.00 
898,Adidas,NMD_R1,Casual,Men,US 9.5,Black/White,Mesh,$130.00 
899,Reebok,Floatride Energy 3,Running,Women,US 6.5,Black,Mesh,$100.00 
900,Converse,All Star Pro BB,Basketball,Men,US 12,Red,Leather/Synthetic,$120.00 
901,Puma,RS-2K,Lifestyle,Women,US 7.5,White,Leather/Synthetic,$110.00 
902,Vans,Era,Skate,Men,US 8,Navy,Canvas,$50.00 
903,New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Pink,Mesh/Synthetic,$130.00 
904,Asics,Gel-Kayano 27,Running,Men,US 10,Black,Mesh/Synthetic,$160.00 
905,Fila,Trigate,Fashion,Women,US 9,Black,Leather/Synthetic,$65.00 
906,Skechers,Go Walk 6,Walking,Men,US 9.5,Black,Mesh,$60.00 
907,Nike,Air Force 1 '07,Casual,Men,US 11,White,Leather,$90.00 
908,Adidas,NMD_R1,Lifestyle,Women,US 8,Pink/White,Primeknit,$130.00 
909,Reebok,Nano X,Crossfit,Men,US 10.5,Black,Synthetic,$130.00 
910,Converse,Chuck 70 High Top,Casual,Men,US 9.5,Black/White,Canvas,$85.00 
911,Puma,Calibrate Runner,Running,Women,US 9,Blue/White,Mesh,$90.00 
912,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 
913,New Balance,327,Lifestyle,Women,US 7.5,Green,Suede/Nylon,$90.00 
914,Asics,Gel-Kayano 27,Running,Men,US 9.5,Grey,Mesh,$160.00 
915,Fila,Mindblower,Fashion,Women,US 7.5,White/Blue,Leather/Synthetic,$75.00 
916,Skechers,Elite Flex Wasick,Training,Men,US 8,Navy,Mesh,$65.00 
917,Nike,Air Zoom Pegasus 38,Running,Women,US 6.5,Grey/Pink,Mesh,$120.00 
918,Adidas,Ultraboost DNA,Running,Men,US 11.5,Black/White,Primeknit,$180.00 
919,Reebok,Club C Revenge,Casual,Women,US 8.5,Pink/White,Leather,$80.00 
920,Converse,Jack Purcell,Casual,Men,US 9,Navy,Canvas,$65.00 
921,Puma,Clyde All-Pro,Basketball,Women,US 7,Black/White,Leather,$130.00 
922,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
923,New Balance,FuelCell Propel V3,Running,Women,US 8.5,Black,Mesh,$90.00 
924,Asics,Gel-Nimbus Lite 2,Running,Men,US 10,Black,Mesh,$150.00 
925,Fila,V94M,Fashion,Women,US 8.5,White/Blue,Leather/Synthetic,$75.00 
926,Nike,Air Force 1 '07,Casual,Men,US 11,White,Leather,$90.00 
927,Adidas,NMD_R1,Lifestyle,Women,US 8,Pink/White,Primeknit,$130.00 
928,Reebok,Nano X,Crossfit,Men,US 10.5,Black,Synthetic,$130.00 
929,Converse,Chuck 70 High Top,Casual,Men,US 9.5,Black/White,Canvas,$85.00 
930,Puma,Calibrate Runner,Running,Women,US 9,Blue/White,Mesh,$90.00 
931,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 
932,New Balance,327,Lifestyle,Women,US 7.5,Green,Suede/Nylon,$90.00 
933,Asics,Gel-Kayano 27,Running,Men,US 9.5,Grey,Mesh,$160.00 
934,Fila,Mindblower,Fashion,Women,US 7.5,White/Blue,Leather/Synthetic,$75.00 
935,Skechers,Elite Flex Wasick,Training,Men,US 8,Navy,Mesh,$65.00 
936,Nike,Air Zoom Pegasus 38,Running,Women,US 6.5,Grey/Pink,Mesh,$120.00 
937,Adidas,Ultraboost DNA,Running,Men,US 11.5,Black/White,Primeknit,$180.00 
938,Reebok,Club C Revenge,Casual,Women,US 8.5,Pink/White,Leather,$80.00 
939,Converse,Jack Purcell,Casual,Men,US 9,Navy,Canvas,$65.00 
940,Puma,Clyde All-Pro,Basketball,Women,US 7,Black/White,Leather,$130.00 
941,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
942,New Balance,FuelCell Propel V3,Running,Women,US 8.5,Black,Mesh,$90.00 
943,Asics,Gel-Nimbus Lite 2,Running,Men,US 10,Black,Mesh,$150.00 
944,Fila,V94M,Fashion,Women,US 8.5,White/Blue,Leather/Synthetic,$75.00 
945,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
946,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Pink,Primeknit,$130.00 
947,Reebok,Nano X1,Crossfit,Men,US 9.5,Grey,Knit,$130.00 
948,Converse,Chuck 70,Casual,Women,US 9.5,Black,Canvas,$85.00 
949,Puma,Calibrate,Running,Men,US 10,Grey,Mesh,$120.00 
950,Vans,SK8-Hi,Skate,Men,US 8,Red/White,Suede/Canvas,$70.00 
951,New Balance,327,Lifestyle,Women,US 6.5,Purple,Suede/Mesh,$100.00 
952,Asics,Gel-Quantum 180,Running,Men,US 11.5,Black,Mesh,$120.00 
953,Fila,Trailblazer,Fashion,Women,US 8,Brown,Leather,$75.00 
954,Skechers,Max Cushioning,Running,Women,US 7.5,Navy,Mesh,$90.00 
955,Nike,Air Zoom Pegasus 38,Running,Men,US 9.5,Blue,Mesh,$120.00 
956,Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,$85.00 
957,Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,$65.00 
958,Converse,Jack Purcell,Casual,Men,US 9.5,White,Canvas,$65.00 
959,Puma,RS-2K,Lifestyle,Women,US 7.5,Black,Mesh/Suede,$110.00 
960,Vans,Slip-On,Skate,Men,US 9,Black/White,Canvas,$50.00 
961,New Balance,FuelCell Rebel v2,Running,Women,US 9,Green/Black,Mesh,$130.00 
962,Asics,Gel-Kayano Lite,Running,Men,US 9,Grey,Mesh,$160.00 
963,Fila,Mindblower,Fashion,Women,US 7.5,White,Leather,$75.00 
964,Skechers,D'Lites,Walking,Men,US 11,White,Leather,$65.00 
965,Nike,Air Max 97,Running,Women,US 8,Silver,Leather/Synthetic,$170.00 
966,Nike,Air Force 1,Lifestyle,Men,US 11,White,Leather,$90.00 
967,Adidas,Yeezy Boost 350,Lifestyle,Women,US 8.5,Clay Brown,Primeknit,$220.00 
968,Reebok,Nano X,Training,Men,US 9.5,Black/Red,Synthetic/Mesh,$130.00 
969,Converse,Chuck 70,Casual,Women,US 7,Natural Ivory,Canvas,$85.00 
970,Puma,Cali Sport,Lifestyle,Men,US 10,Black/White,Leather/Synthetic,$80.00 
971,Vans,Sk8-Hi,Skate,Women,US 9,Red/White,Suede/Canvas,$70.00 
972,New Balance,FuelCell Rebel v2,Running,Men,US 8.5,Blue/Orange,Mesh,$130.00 
973,Asics,Gel-Cumulus 23,Running,Women,US 7.5,White/Black,Mesh,$120.00 
974,Fila,D-Formation,Fashion,Men,US 11,White/Navy,Leather/Synthetic,$65.00 
975,Skechers,Max Cushioning Premier,Running,Women,US 6.5,Black/White,Mesh,$90.00 
976,Nike,Air Zoom Pegasus 38,Running,Men,US 12,Black,Mesh,$120.00 
977,Adidas,Superstar,Casual,Women,US 7.5,Cloud White,Leather,$80.00 
978,Reebok,Classic Nylon,Casual,Men,US 10.5,Collegiate Navy,Nylon/Suede,$65.00 
979,Converse,Jack Purcell,Casual,Women,US 8,Black/White,Canvas,$65.00 
980,Puma,Suede Classic,Lifestyle,Men,US 8.5,Black/White,Suede,$65.00 
981,Vans,Era,Skate,Women,US 6,Black/White,Canvas,$50.00 
982,New Balance,Fresh Foam Hierro v6,Trail,Men,US 10,Black/Red,Mesh/Synthetic,$135.00 
983,Asics,Gel-Excite 8,Running,Women,US 9,Black,Mesh,$75.00 
984,Fila,Mindblower,Fashion,Men,US 12,White/Navy/Red,Synthetic/Leather,$65.00 
985,Nike,Air Force 1,Casual,Men,US 9,White,Leather,$90.00 
986,Adidas,NMD_R1,Lifestyle,Women,US 8,Black,Primeknit,$140.00 
987,Reebok,Nano X,Crossfit,Men,US 10.5,Black,Mesh,$130.00 
988,Converse,Jack Purcell,Casual,Men,US 8.5,White,Canvas,$70.00 
989,Puma,Calibrate Runner,Running,Women,US 7,Grey,Mesh,$80.00 
990,Vans,Sk8-Hi,Skate,Men,US 10.5,Black/White,Canvas/Suede,$70.00 
991,New Balance,FuelCell Rebel v2,Running,Women,US 9,White/Green,Mesh,$130.00 
992,Asics,Gel-Quantum 360 6,Running,Men,US 9.5,Blue,Mesh,$150.00 
993,Fila,Mindblower,Fashion,Women,US 8.5,Pink,Leather,$80.00 
994,Skechers,Go Walk 5,Walking,Men,US 11,Black,Mesh,$65.00 
995,Nike,React Infinity Run Flyknit 2,Running,Women,US 8.5,Pink,Flyknit,$160.00 
996,Adidas,Ultraboost DNA,Running,Men,US 8.5,White,Primeknit,$180.00 
997,Reebok,Aztrek 96,Casual,Women,US 7.5,Yellow,Leather/Synthetic,$90.00 
998,Converse,Chuck 70,Casual,Men,US 7,Red,Canvas,$85.00 
999,Puma,Mirage Sport,Lifestyle,Women,US 6,Pink,Leather,$90.00 
1000,Vans,Era,Skate,Men,US 9.5,Black/White,Canvas,$50.00 
1001,New Balance,Fresh Foam 880v11,Running,Women,US 10,Grey,Mesh,$130.00 
1002,Asics,Gel-Kayano Lite,Running,Men,US 9.5,Black,Mesh,$160.00 
1003,Fila,Venom 94,Fashion,Women,US 7.5,White,Leather,$70.00 
1004,Skechers,Summits,Training,Men,US 8,Grey,Mesh,$55.00 
1005,Nike,Air Max 97,Running,Women,US 7.5,Silver,Leather,$170.00 
